QTY_UOM,Description,Title,Url,ImageURL,UPC,Length,MFGPart,TesscoSKU,InStock_OutOfStock,Manufacturer,Price,ListPrice,CategoryTopology
1 EACH,"For wireless networking professionals, Ventev’s SMA Male/Plug for 240 Cable coaxial cable connectors offer the best value in the industry. Unlike other component suppliers, Ventev connectors offer an unsurpassed combination of performance and price delivering upon customer expectations across thousands of wireless installations. The Ventev Straight style connector is compatible w/ 240 series cables such as TWS-240/RG8X",SMA Male/Plug for 240 Cable,https://www.tessco.com/product/315399,https://avalanche.tessco.com/productimages/450x450/615504%2Ejpg,888063153990,,CON-18-240,315399,Out of stock,, $1.88, $2.34,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >SMA Connectors >SKU #315399"
1 EACH,"For wireless networking professionals, Ventev’s SMA Male/Plug for 240 Cable coaxial cable connectors offer the best value in the industry. Unlike other component suppliers, Ventev connectors offer an unsurpassed combination of performance and price delivering upon customer expectations across thousands of wireless installations. The Ventev Straight style connector is compatible w/ 240 series cables such as TWS-240/RG8X",SMA Male/Plug for 240 Cable,https://www.tessco.com/product/315399,https://avalanche.tessco.com/productimages/450x450/615504%2Ejpg,888063153990,,CON-18-240,315399,Out of stock,, $1.88, $2.34,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >SMA Connectors >SKU #315399"
1 EACH,"For wireless networking professionals, Ventev’s SMA Male/Plug for 240 Cable coaxial cable connectors offer the best value in the industry. Unlike other component suppliers, Ventev connectors offer an unsurpassed combination of performance and price delivering upon customer expectations across thousands of wireless installations. The Ventev Straight style connector is compatible w/ 240 series cables such as TWS-240/RG8X",SMA Male/Plug for 240 Cable,https://www.tessco.com/product/315399,https://avalanche.tessco.com/productimages/450x450/615504%2Ejpg,888063153990,,CON-18-240,315399,Out of stock,, $1.88, $2.34,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >SMA Connectors >SKU #315399"
1 EACH,"For wireless networking professionals, Ventev’s SMA Male/Plug for 240 Cable coaxial cable connectors offer the best value in the industry. Unlike other component suppliers, Ventev connectors offer an unsurpassed combination of performance and price delivering upon customer expectations across thousands of wireless installations. The Ventev Straight style connector is compatible w/ 240 series cables such as TWS-240/RG8X",SMA Male/Plug for 240 Cable,https://www.tessco.com/product/315399,https://avalanche.tessco.com/productimages/450x450/615504%2Ejpg,888063153990,,CON-18-240,315399,Out of stock,, $1.88, $2.34,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >SMA Connectors >SKU #315399"
1 EACH,"For wireless networking professionals, Ventev’s SMA Male/Plug for 240 Cable coaxial cable connectors offer the best value in the industry. Unlike other component suppliers, Ventev connectors offer an unsurpassed combination of performance and price delivering upon customer expectations across thousands of wireless installations. The Ventev Straight style connector is compatible w/ 240 series cables such as TWS-240/RG8X",SMA Male/Plug for 240 Cable,https://www.tessco.com/product/315399,https://avalanche.tessco.com/productimages/450x450/615504%2Ejpg,888063153990,,CON-18-240,315399,Out of stock,, $1.88, $2.34,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >SMA Connectors >SKU #315399"
1 EACH,"For wireless networking professionals, Ventev’s SMA Male/Plug for 240 Cable coaxial cable connectors offer the best value in the industry. Unlike other component suppliers, Ventev connectors offer an unsurpassed combination of performance and price delivering upon customer expectations across thousands of wireless installations. The Ventev Straight style connector is compatible w/ 240 series cables such as TWS-240/RG8X",SMA Male/Plug for 240 Cable,https://www.tessco.com/product/315399,https://avalanche.tessco.com/productimages/450x450/615504%2Ejpg,888063153990,,CON-18-240,315399,Out of stock,, $1.88, $2.34,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >SMA Connectors >SKU #315399"
1 EACH,"TIMES N male connector for LMR400. Spring finger center pin, crimp on ferrule. Silver plated body, gold center pin. knurled nut. (2) O-rings",N Male//knurled LMR-400,https://www.tessco.com/product/371964,https://avalanche.tessco.com/productimages/450x450/303370%2Ejpg,888063719646,,EZ-400-NMK-D,371964,Out of stock,, $12.18, $16.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >N Connectors >SKU #371964"
1 EACH,"ANDREW  N Male Postive Lock 1/4"" for LDF1-50 cable. Hex Head, captivated silver center pin, trimetal body. ",N Male Positive Lock for LDF1-50,https://www.tessco.com/product/374276,https://avalanche.tessco.com/productimages/450x450/754744%2Ejpg,888063742767,,L1TNM-PL,374276,Out of stock,, $13.08, $17.10,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors for Foam Coax Cable >1/4"" Foam Cable Connectors >SKU #374276"
1 EACH,"ANDREW N-Male right angle for 1/4"" superflex. Hex head. Captivated center pin. Self-clamping. Trimetal plated body and Gold plated pin.","N-Male right angle 1/4""",https://www.tessco.com/product/379331,https://avalanche.tessco.com/productimages/450x450/1261599%2Ejpg,F1TNR-HC,,F1TNR-HC,379331,Out of stock,, $22.38, $29.95,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors for Foam Coax Cable >1/4"" Foam Cable Connectors >SKU #379331"
1 EACH,"ANDREW 7/16 DIN Male series EZfit Connector for 1-5/8"" HELIAX AVA and FXL cables. Smaller two-piece design for easy installation. USE PROPER PREP TOOL.","7/16"" D/M Ezfit for 1-5/8"" AVA and FXL cable",https://www.tessco.com/product/314559,https://avalanche.tessco.com/productimages/450x450/649671%2Ejpg,888063145599,,158EZDM,314559,Out of stock,, $115.04, $154.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors for Foam Coax Cable >1-5/8"" Foam Cable Connectors >SKU #314559"
1 EACH,"AMPHENOL RF QMA male  crimp connector for RG58, LMR195 type cables. Center pin is soldered.  QLF Certified ","QMA Male Crimp-RG58, LMR195",https://www.tessco.com/product/315600,https://avalanche.tessco.com/productimages/450x450/665511%2Ejpg,888063156007,,930-120P-51S,315600,Out of stock,, $14.34, $19.37,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >QMA Connectors >SKU #315600"
1 EACH,"For wireless networking professionals demanding value and availability, Ventev’s 6' N Male; N Male antenna extension cable uses RG-142P series Low Loss/RG type cable and is terminated w/ high performance 50 Ohm RF connectors and weatherproofed w/ heat shrink.  Built by a manufacturer-certified technicians, this jumper is 100% tested prior to shipment. Built by a manufacturer-certified technicians, this antenna extension is tested prior to shipment for 100 percent customer satisfaction and guaranteed performance.",6' DAS jumper using RG-142 plenum cable N M;N M,https://www.tessco.com/product/312466,https://avalanche.tessco.com/productimages/450x450/707507%2Ejpg,888063124662,,RG142PNMNM-6,312466,Out of stock,, $53.75, $76.94,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >50 Ohm Braided Assemblies >SKU #312466"
1 EACH,"For wireless networking professionals demanding value and availability, Ventev’s 3' N Male; N Male antenna extension cable uses LMR-400-LLPL series Low Loss/RG type cable and is terminated w/ high performance 50 Ohm RF connectors and weatherproofed w/ heat shrink. Built by a manufacturer-certified technicians, this coax jumper is tested prior to shipment for 100 percent customer satisfaction and guaranteed performance.","3' wireless wifi antenna Cable,400,N M;N M",https://www.tessco.com/product/314961,https://avalanche.tessco.com/productimages/450x450/722581%2Ejpg,888063149610,,LMR400LLPLNMNM-3,314961,Out of stock,, $43.57, $65.35,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >50 Ohm Braided Assemblies >SKU #314961"
1 EACH,"ANDREW  N Male Postive Lock 1/4"" for LDF1-50 cable. Hex Head, captivated silver center pin, trimetal body. ",N Male Positive Lock for LDF1-50,https://www.tessco.com/product/374276,https://avalanche.tessco.com/productimages/450x450/754744%2Ejpg,888063742767,,L1TNM-PL,374276,Out of stock,, $13.08, $17.10,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors for Foam Coax Cable >1/4"" Foam Cable Connectors >SKU #374276"
