QTY_UOM,Description,Title,Url,ImageURL,UPC,Length,MFGPart,TesscoSKU,InStock_OutOfStock,Manufacturer,Price,ListPrice,CategoryTopology
1 FOOT,"TIMES MICROWAVE TFT-402-LF Low Loss, Low PIM Plenum Rated Coaxial Cable, Bare Copper CC and Tin Plated Flat Strip Braid, Blue FEP Jacket.",TFT-401-LF Coaxial Cable,https://www.tessco.com/product/261866,https://avalanche.tessco.com/productimages/450x450/5259148%2Ejpg,646444992374,,TFT-401-LF,261866,InStock,Times Microwave Systems, $2.97, $4.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #261866"
500 FOOT,"BELDEN 20 AWG RG59 Plenum cable  with Solid .032"" barecopper conductor , 95% bare copper braid,  Flammarest jacket.","RG59, Plenum-CMP, 20 AWG solid bare copper cable",https://www.tessco.com/product/210298,https://avalanche.tessco.com/productimages/450x450/5155507%2Ejpg,646444942355,,643948 877U500,210298,InStock,Belden, $205.23, $225.55,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >75 Ohm Braided Coax Cable >RG-59 Cable >SKU #210298"
1 EACH,COMMSCOPE L4A-NMDM-10-P-SGW 10' LDF4-50A Jumper with N-Male to 7/16 DIN Male Straight Connectors. SureGuard Weatherproofing,"10' LDF4-50A N-Male to 7/16 DIN Male, Sureguard",https://www.tessco.com/product/271602,https://avalanche.tessco.com/productimages/450x450/5453187%2Ejpg,646444764377,,L4A-NMDM-10-P-SGW,271602,InStock,CommScope, $100.67, $135.21,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Foam Cables >SKU #271602"
1 EACH,COMMSCOPE L4A-NMDM-4-P-SGW 4' LDF4-50A Jumper with N-Male to 7/16 DIN Male Straight Connectors. SureGuard Weatherproofing,"4' LDF4-50A N-Male to 7/16 DIN Male, Sureguard",https://www.tessco.com/product/273910,https://avalanche.tessco.com/productimages/450x450/5453293%2Ejpg,646444764308,,L4A-NMDM-4-P-SGW,273910,InStock,CommScope, $83.90, $112.77,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Foam Cables >SKU #273910"
1 EACH,"Times Microwave 4 foot  SPP-250-LLPL 1/4"" low loss, low PIM, plenum-rated jumper with SMA male to SMA male connectors.",4 Foot SPP-250-LLPL Jumper SMA Male to SMA Male,https://www.tessco.com/product/277792,https://avalanche.tessco.com/productimages/450x450/5297413%2Ejpg,646444623056,,SPP250SMSM4.0F,277792,InStock,Times Microwave Systems, $40.64, $53.92,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Foam Cables >SKU #277792"
1 FOOT,"TIMES MICROWAVE SPO-250 1/4"" corrugated low PIM cable.","SPO-250 1/4"" Corrugated Low PIM Cable",https://www.tessco.com/product/277729,https://avalanche.tessco.com/productimages/450x450/4978095%2Ejpg,646444352970,,SPO-250,277729,InStock,Times Microwave Systems, $1.36, $2.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >200 Series Cable >SKU #277729"
1 EACH,COMMSCOPE L4A-NMDM-15-P-SGW 15' LDF4-50A Jumper with N-Male to 7/16 DIN Male Straight Connectors. SureGuard Weatherproofing,"15' LDF4-50A N-Male to 7/16 DIN Male, Sureguard",https://www.tessco.com/product/271666,https://avalanche.tessco.com/productimages/450x450/5453190%2Ejpg,646444764483,,L4A-NMDM-15-P-SGW,271666,InStock,CommScope, $112.14, $150.56,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Foam Cables >SKU #271666"
1 EACH,"COMMSCOPE F4A-HMNM-1M-P FSJ4-50B SureFlex® Jumper with interface types 4.3-10 Male and N Male, 1 m","FSJ4-50B SureFlex® Jumper, 4.3-10 M and NM, 1 m",https://www.tessco.com/product/275519,https://avalanche.tessco.com/productimages/450x450/5547736%2Ejpg,646444545402,,F4A-HMNM-1M-P,275519,InStock,CommScope, $75.44, $98.27,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Superflexible Cables >SKU #275519"
1 FOOT,"TIMES MICROWAVE TFT-402-LF Low Loss, Low PIM Plenum Rated Coaxial Cable, Bare Copper CC and Tin Plated Flat Strip Braid, Blue FEP Jacket.",TFT-401-LF Coaxial Cable,https://www.tessco.com/product/261866,https://avalanche.tessco.com/productimages/450x450/5259148%2Ejpg,646444992374,,TFT-401-LF,261866,InStock,Times Microwave Systems, $2.97, $4.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #261866"
1 EACH,"COMMSCOPE 35422-23 Heat Treated LDF2-50, HELIAX® Low Density Foam Coaxial Cable, corrugated copper, 3/8 in, black PE jacket","Heat Treated LDF2-50, HELIAX Coaxial Cable",https://www.tessco.com/product/295548,https://avalanche.tessco.com/productimages/450x450/5373666%2Ejpg,729198724788,,35422-23,295548,InStock,CommScope, $2.03, $3.42,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Foam Coaxial Cable >3/8"" Foam Cable >SKU #295548"
500 FOOT,"The Belden 9913-500 RG8/U coaxial cable (black) is low loss with an ""air"" dielectric. This 50 Ohm coax cable has a solid center conductor and a semi-solid polyethylene dielectric. A 100 percent shield coverage prevents loss.",Belden 9913 RG8/U-Coax Cable - 500ft,https://www.tessco.com/product/24460,https://avalanche.tessco.com/productimages/450x450/12944%2Ejpg,612825261650,,9913-500,24460,InStock,Belden, $427.48, $862.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-8 Cable >SKU #24460"
1000 FOOT,"BELDEN 7732A 8771000 RG-11/U Plenum Cable, 14AWG solid solid .064"" bare copper conductor, foam FEP insulation, Duofoil + tinned braid shield, natural color jacket.",1000' RG11/U Plenum Cable - Natural Color Jacket,https://www.tessco.com/product/291502,https://avalanche.tessco.com/productimages/450x450/4920016%2Ejpg,646444121088,,7732A 8771000,291502,InStock,Belden, $2, $8,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >75 Ohm Braided Coax Cable >RG-11 Cables >SKU #291502"
1 EACH,TIMES MICROWAVE 4.3/10-Male (plug) crimp connector (non-solder pin) for LMR 240 Cable,4.3/10-Male crimp connectorfor LMR 240 cable,https://www.tessco.com/product/290022,https://avalanche.tessco.com/productimages/450x450/5513278%2Ejpg,3190-6386,,EZ-240-4310M-X,290022,InStock,Times Microwave Systems, $12.95, $18.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Connectors & Adapters for Braided Coax >7/16 DIN Connectors >SKU #290022"
500 FOOT,"BELDEN 20 AWG RG59 Plenum cable  with Solid .032"" barecopper conductor , 95% bare copper braid,  Flammarest jacket.","RG59, Plenum-CMP, 20 AWG solid bare copper cable",https://www.tessco.com/product/210298,https://avalanche.tessco.com/productimages/450x450/5155507%2Ejpg,646444942355,,643948 877U500,210298,InStock,Belden, $205.23, $225.55,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >75 Ohm Braided Coax Cable >RG-59 Cable >SKU #210298"
1 FOOT,"TIMES MICROWAVE TFT-402-LF Low Loss, Low PIM Plenum Rated Coaxial Cable, Bare Copper CC and Tin Plated Flat Strip Braid, Blue FEP Jacket.",TFT-401-LF Coaxial Cable,https://www.tessco.com/product/261866,https://avalanche.tessco.com/productimages/450x450/5259148%2Ejpg,646444992374,,TFT-401-LF,261866,InStock,Times Microwave Systems, $2.97, $4.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #261866"
1 FOOT,"TIMES MICROWAVE TFT-402-LF Low Loss, Low PIM Plenum Rated Coaxial Cable, Bare Copper CC and Tin Plated Flat Strip Braid, Blue FEP Jacket.",TFT-401-LF Coaxial Cable,https://www.tessco.com/product/261866,https://avalanche.tessco.com/productimages/450x450/5259148%2Ejpg,646444992374,,TFT-401-LF,261866,InStock,Times Microwave Systems, $2.97, $4.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #261866"
1 FOOT,"TIMES MICROWAVE TFT-402-LF Low Loss, Low PIM Plenum Rated Coaxial Cable, Bare Copper CC and Tin Plated Flat Strip Braid, Blue FEP Jacket.",TFT-401-LF Coaxial Cable,https://www.tessco.com/product/261866,https://avalanche.tessco.com/productimages/450x450/5259148%2Ejpg,646444992374,,TFT-401-LF,261866,InStock,Times Microwave Systems, $2.97, $4.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #261866"
1 FOOT,"TIMES MICROWAVE TFT-402-LF Low Loss, Low PIM Plenum Rated Coaxial Cable, Bare Copper CC and Tin Plated Flat Strip Braid, Blue FEP Jacket.",TFT-401-LF Coaxial Cable,https://www.tessco.com/product/261866,https://avalanche.tessco.com/productimages/450x450/5259148%2Ejpg,646444992374,,TFT-401-LF,261866,InStock,Times Microwave Systems, $2.97, $4.00,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #261866"
500 FOOT,"BELDEN 20 AWG RG59 Plenum cable  with Solid .032"" barecopper conductor , 95% bare copper braid,  Flammarest jacket.","RG59, Plenum-CMP, 20 AWG solid bare copper cable",https://www.tessco.com/product/210298,https://avalanche.tessco.com/productimages/450x450/5155507%2Ejpg,646444942355,,643948 877U500,210298,InStock,Belden, $205.23, $225.55,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >75 Ohm Braided Coax Cable >RG-59 Cable >SKU #210298"
1 EACH,"Times Microwave 4 foot  SPP-250-LLPL 1/4"" low loss, low PIM, plenum-rated jumper with SMA male to SMA male connectors.",4 Foot SPP-250-LLPL Jumper SMA Male to SMA Male,https://www.tessco.com/product/277792,https://avalanche.tessco.com/productimages/450x450/5297413%2Ejpg,646444623056,,SPP250SMSM4.0F,277792,InStock,Times Microwave Systems, $40.64, $53.92,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Foam Cables >SKU #277792"
1 EACH,"COMMSCOPE F4A-HMNM-1M-P FSJ4-50B SureFlex® Jumper with interface types 4.3-10 Male and N Male, 1 m","FSJ4-50B SureFlex® Jumper, 4.3-10 M and NM, 1 m",https://www.tessco.com/product/275519,https://avalanche.tessco.com/productimages/450x450/5547736%2Ejpg,646444545402,,F4A-HMNM-1M-P,275519,InStock,CommScope, $75.44, $98.27,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Superflexible Cables >SKU #275519"
1 EACH,COMMSCOPE L4A-NMDM-4-P-SGW 4' LDF4-50A Jumper with N-Male to 7/16 DIN Male Straight Connectors. SureGuard Weatherproofing,"4' LDF4-50A N-Male to 7/16 DIN Male, Sureguard",https://www.tessco.com/product/273910,https://avalanche.tessco.com/productimages/450x450/5453293%2Ejpg,646444764308,,L4A-NMDM-4-P-SGW,273910,InStock,CommScope, $83.90, $112.77,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Foam Cables >SKU #273910"
1 FOOT,"The Times Microwave LMR-400-RR-DB direct burial low loss coaxial cable contains a weatherproofing compound around the foil and braid for continuous performance even if cable has sustained damaged. The 3/8 inch, 50 Ohm coax cable has a stranded outer conductor and a bare copper center conductor. This braided coax cable has a 100 percent foil and 88 percent braided shield.","3/8"" LMR-400-RR-DB Waterproof Rodent Repellant",https://www.tessco.com/product/283115,https://avalanche.tessco.com/productimages/450x450/5231944%2Ejpg,729198721916,,LMR-400-RR-DB,283115,Out of Stock,Times Microwave Systems, $1.28, $1.95,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >400 Series Cable >SKU #283115"
1 EACH,COMMSCOPE L4A-NMDM-10-P-SGW 10' LDF4-50A Jumper with N-Male to 7/16 DIN Male Straight Connectors. SureGuard Weatherproofing,"10' LDF4-50A N-Male to 7/16 DIN Male, Sureguard",https://www.tessco.com/product/271602,https://avalanche.tessco.com/productimages/450x450/5453187%2Ejpg,646444764377,,L4A-NMDM-10-P-SGW,271602,InStock,CommScope, $100.67, $135.21,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Foam Cables >SKU #271602"
1 EACH,"Times Microwave 4 foot  SPP-250-LLPL 1/4"" low loss, low PIM, plenum-rated jumper with SMA male to SMA male connectors.",4 Foot SPP-250-LLPL Jumper SMA Male to SMA Male,https://www.tessco.com/product/277792,https://avalanche.tessco.com/productimages/450x450/5297413%2Ejpg,646444623056,,SPP250SMSM4.0F,277792,InStock,Times Microwave Systems, $40.64, $53.92,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >Jumper Assemblies >Jumper Assemblies-Foam Cables >SKU #277792"
500 FOOT,The Belden 9201-500 RG58/U coaxial cable has a 78 percent shield coverage and 66 percent velocity of propagation. This 53.5 Ohm braided coax cable has a solid center conductor and polyethylene dielectric. ,RG58/U Coaxial Cable - 500ft,https://www.tessco.com/product/29781,https://avalanche.tessco.com/productimages/450x450/17652%2Ejpg,612825225218,,9201-500,29781,InStock,Belden, $244.48, $257.10,">Buy >Cable Products >Coaxial Cable, Connectors & Jumpers >50 Ohm Braided Coax Cable >RG-58 Cable >SKU #29781"
